,time,t_925,t_1000,t_delta,inversion_0/1,data
0,2024-01-01 00:00:00,277.29004,278.46704,1.177002,1,2024-01-01
1,2024-01-01 06:00:00,276.44604,277.5918,1.145752,1,2024-01-01
2,2024-01-01 12:00:00,276.4663,279.57593,3.1096191,1,2024-01-01
3,2024-01-01 18:00:00,274.7749,277.93652,3.161621,1,2024-01-01
4,2024-01-02 00:00:00,275.33838,278.4182,3.079834,1,2024-01-02
5,2024-01-02 06:00:00,274.10254,277.17505,3.0725098,1,2024-01-02
6,2024-01-02 12:00:00,274.8545,278.2412,3.3867188,1,2024-01-02
7,2024-01-02 18:00:00,273.8164,278.00586,4.189453,1,2024-01-02
8,2024-01-03 00:00:00,275.95117,277.25488,1.3037109,1,2024-01-03
9,2024-01-03 06:00:00,279.2898,282.96973,3.6799316,1,2024-01-03
10,2024-01-03 12:00:00,279.26392,283.3794,4.1154785,1,2024-01-03
11,2024-01-03 18:00:00,278.51782,282.8181,4.300293,1,2024-01-03
12,2024-01-04 00:00:00,277.76074,281.5874,3.8266602,1,2024-01-04
13,2024-01-04 06:00:00,275.92163,280.51,4.588379,1,2024-01-04
14,2024-01-04 12:00:00,271.25342,275.11377,3.8603516,1,2024-01-04
15,2024-01-04 18:00:00,267.58154,273.2273,5.645752,1,2024-01-04
16,2024-01-05 00:00:00,267.53027,273.01392,5.4836426,1,2024-01-05
17,2024-01-05 06:00:00,266.95654,271.97217,5.015625,1,2024-01-05
18,2024-01-05 12:00:00,267.08838,272.18848,5.1000977,1,2024-01-05
19,2024-01-05 18:00:00,268.98584,271.9912,3.005371,1,2024-01-05
20,2024-01-06 00:00:00,270.3313,270.88306,0.5517578,1,2024-01-06
21,2024-01-06 06:00:00,269.07642,270.6809,1.6044922,1,2024-01-06
22,2024-01-06 12:00:00,267.66162,270.77148,3.1098633,1,2024-01-06
23,2024-01-06 18:00:00,266.39404,270.4602,4.066162,1,2024-01-06
24,2024-01-07 00:00:00,265.71484,269.34546,3.6306152,1,2024-01-07
25,2024-01-07 06:00:00,266.28906,270.19897,3.909912,1,2024-01-07
26,2024-01-07 12:00:00,264.95117,270.32715,5.3759766,1,2024-01-07
27,2024-01-07 18:00:00,263.04907,267.0437,3.994629,1,2024-01-07
28,2024-01-08 00:00:00,262.5598,264.16943,1.6096191,1,2024-01-08
29,2024-01-08 06:00:00,264.7417,265.87817,1.1364746,1,2024-01-08
30,2024-01-08 12:00:00,266.76758,266.30054,-0.46704102,0,2024-01-08
31,2024-01-08 18:00:00,267.1001,267.36377,0.26367188,1,2024-01-08
32,2024-01-09 00:00:00,267.56665,267.96338,0.39672852,1,2024-01-09
33,2024-01-09 06:00:00,269.0105,268.03735,-0.97314453,0,2024-01-09
34,2024-01-09 12:00:00,270.136,269.1355,-1.0004883,0,2024-01-09
35,2024-01-09 18:00:00,270.89185,269.1543,-1.7375488,0,2024-01-09
36,2024-01-10 00:00:00,272.0608,268.85254,-3.208252,0,2024-01-10
37,2024-01-10 06:00:00,272.604,267.98828,-4.6157227,0,2024-01-10
38,2024-01-10 12:00:00,273.47583,267.78052,-5.6953125,0,2024-01-10
39,2024-01-10 18:00:00,275.2163,268.35352,-6.862793,0,2024-01-10
40,2024-01-11 00:00:00,276.3037,270.3855,-5.918213,0,2024-01-11
41,2024-01-11 06:00:00,275.5901,270.5,-5.090088,0,2024-01-11
42,2024-01-11 12:00:00,274.38623,272.12207,-2.2641602,0,2024-01-11
43,2024-01-11 18:00:00,271.99512,274.13623,2.1411133,1,2024-01-11
44,2024-01-12 00:00:00,270.3164,273.62964,3.3132324,1,2024-01-12
45,2024-01-12 06:00:00,270.021,272.95312,2.932129,1,2024-01-12
46,2024-01-12 12:00:00,272.66113,271.83765,-0.8234863,0,2024-01-12
