,Date_time,LdLodzJanPaw,WpPoznDabrow
5,2024-01-01 01:00:00,0.682,0.621
6,2024-01-01 02:00:00,0.783,0.668
7,2024-01-01 03:00:00,0.786,0.684
8,2024-01-01 04:00:00,0.777,0.576
9,2024-01-01 05:00:00,0.703,0.425
10,2024-01-01 06:00:00,0.558,0.381
11,2024-01-01 07:00:00,0.518,0.355
12,2024-01-01 08:00:00,0.519,0.349
13,2024-01-01 09:00:00,0.512,0.336
14,2024-01-01 10:00:00,0.547,0.312
15,2024-01-01 11:00:00,0.489,0.306
16,2024-01-01 12:00:00,0.475,0.315
17,2024-01-01 13:00:00,0.436,0.33
18,2024-01-01 14:00:00,0.419,0.33
19,2024-01-01 15:00:00,0.428,0.371
20,2024-01-01 16:00:00,0.435,0.361
21,2024-01-01 17:00:00,0.442,0.458
22,2024-01-01 18:00:00,0.446,0.415
23,2024-01-01 19:00:00,0.457,0.423
24,2024-01-01 20:00:00,0.447,0.341
25,2024-01-01 21:00:00,0.398,0.329
26,2024-01-01 22:00:00,0.39,0.325
27,2024-01-01 23:00:00,0.369,0.309
28,2024-01-02 00:00:00,0.34,0.294
29,2024-01-02 01:00:00,0.348,0.278
30,2024-01-02 02:00:00,0.364,0.265
31,2024-01-02 03:00:00,0.35,0.262
32,2024-01-02 04:00:00,0.352,0.264
33,2024-01-02 05:00:00,0.35,0.241
34,2024-01-02 06:00:00,0.347,0.257
35,2024-01-02 07:00:00,0.343,0.28
36,2024-01-02 08:00:00,0.371,0.374
37,2024-01-02 09:00:00,0.361,0.38
38,2024-01-02 10:00:00,0.417,0.444
39,2024-01-02 11:00:00,0.358,0.367
40,2024-01-02 12:00:00,0.404,0.311
41,2024-01-02 13:00:00,0.453,0.315
42,2024-01-02 14:00:00,0.417,
43,2024-01-02 15:00:00,0.594,0.318
44,2024-01-02 16:00:00,0.658,0.347
45,2024-01-02 17:00:00,0.692,0.339
46,2024-01-02 18:00:00,0.48,0.343
47,2024-01-02 19:00:00,0.526,0.341
48,2024-01-02 20:00:00,0.517,0.36
49,2024-01-02 21:00:00,0.473,0.362
50,2024-01-02 22:00:00,0.452,0.352
51,2024-01-02 23:00:00,0.443,0.337
52,2024-01-03 00:00:00,0.417,0.32
53,2024-01-03 01:00:00,0.417,0.304
54,2024-01-03 02:00:00,0.404,0.288
55,2024-01-03 03:00:00,0.391,0.27
56,2024-01-03 04:00:00,0.386,0.273
57,2024-01-03 05:00:00,0.398,0.278
58,2024-01-03 06:00:00,0.452,0.313
59,2024-01-03 07:00:00,0.403,0.283
60,2024-01-03 08:00:00,0.405,0.236
61,2024-01-03 09:00:00,0.488,0.234
