,Date_time,LdLodzCzerni,LdLodzJanPaw,WpPoznDabrow,WpPoznSzwajc
5,2024-01-01 01:00:00,10,25,27,15.8
6,2024-01-01 02:00:00,10.2,27,28,19.8
7,2024-01-01 03:00:00,12.4,24.6,25.2,22
8,2024-01-01 04:00:00,13.3,26.8,18.5,20.9
9,2024-01-01 05:00:00,15.6,22.3,12.2,11.5
10,2024-01-01 06:00:00,12.7,15.8,12.8,11.1
11,2024-01-01 07:00:00,11,15,14.2,12.7
12,2024-01-01 08:00:00,7.5,15.6,14.5,10
13,2024-01-01 09:00:00,9.4,12.5,13.4,12.5
14,2024-01-01 10:00:00,11.3,19.2,10.1,8.8
15,2024-01-01 11:00:00,10.2,10.2,8.6,8
16,2024-01-01 12:00:00,7.6,10,9.9,8.4
17,2024-01-01 13:00:00,8.4,8,10.3,8.3
18,2024-01-01 14:00:00,7.9,8.3,10.8,10.6
19,2024-01-01 15:00:00,9.2,9.3,14.4,11.8
20,2024-01-01 16:00:00,8.4,9.4,17.9,13.6
21,2024-01-01 17:00:00,8.6,8.8,31.7,17
22,2024-01-01 18:00:00,9.4,10,23.3,15.5
23,2024-01-01 19:00:00,9.3,10,15.9,12.7
24,2024-01-01 20:00:00,10.4,10.9,12.8,9.7
25,2024-01-01 21:00:00,7,6.3,12.1,9.3
26,2024-01-01 22:00:00,5.7,5.9,10.4,6.9
27,2024-01-01 23:00:00,4.7,4.7,9,7
28,2024-01-02 00:00:00,3.8,3.7,7.6,6.7
29,2024-01-02 01:00:00,3.7,4.5,7.6,7
30,2024-01-02 02:00:00,4.8,5.1,6.7,5.8
31,2024-01-02 03:00:00,4.4,4.2,4.3,5.3
32,2024-01-02 04:00:00,4,3.8,5.5,5.1
33,2024-01-02 05:00:00,3.7,3.3,6.9,5.8
34,2024-01-02 06:00:00,5.6,4.2,11.9,9.5
35,2024-01-02 07:00:00,6.4,6.4,22.4,21.3
36,2024-01-02 08:00:00,10.2,11,41.4,35.3
37,2024-01-02 09:00:00,13.5,12.4,37,35.4
38,2024-01-02 10:00:00,12.8,11.3,37.8,32.9
39,2024-01-02 11:00:00,12.8,12,27.6,25.1
40,2024-01-02 12:00:00,9.8,10.7,22.1,20.3
41,2024-01-02 13:00:00,8.3,12.9,23.5,12.1
42,2024-01-02 14:00:00,10.9,14.7,,
43,2024-01-02 15:00:00,17.1,44.3,27,13.3
44,2024-01-02 16:00:00,21.9,37.4,32,13.9
45,2024-01-02 17:00:00,22.7,43.9,25.3,12.3
46,2024-01-02 18:00:00,20,33.6,22.9,9.5
47,2024-01-02 19:00:00,14.7,35.5,20.3,10.1
48,2024-01-02 20:00:00,11.1,29.6,20.9,11.7
49,2024-01-02 21:00:00,7.4,21.2,19.4,10.9
50,2024-01-02 22:00:00,6.3,22.6,17.8,9.2
51,2024-01-02 23:00:00,8.2,18.1,15,10.9
52,2024-01-03 00:00:00,9.3,15.1,12.7,10.3
53,2024-01-03 01:00:00,9.6,13.5,10.2,8.1
54,2024-01-03 02:00:00,8.4,10.6,10.6,7.6
55,2024-01-03 03:00:00,6.4,12.2,9.8,7.9
56,2024-01-03 04:00:00,7.4,14.1,9.1,11.5
57,2024-01-03 05:00:00,11,24.1,11.7,16.9
58,2024-01-03 06:00:00,14.6,28.9,22.3,24.3
59,2024-01-03 07:00:00,13.4,21.8,21.5,19.4
60,2024-01-03 08:00:00,16.1,23.2,17,15.2
61,2024-01-03 09:00:00,18.7,17.6,15.9,18.9
62,2024-01-03 10:00:00,13.4,13.1,14,16.6
63,2024-01-03 11:00:00,10.4,9.2,8.8,12.4
64,2024-01-03 12:00:00,7.6,7.2,12.6,12.2
65,2024-01-03 13:00:00,7.7,7.7,11.6,12
66,2024-01-03 14:00:00,12.1,10,11.5,12
67,2024-01-03 15:00:00,15.2,11.5,12.9,12.5
68,2024-01-03 16:00:00,18.8,16.3,14.1,13
69,2024-01-03 17:00:00,18.2,14.7,26.2,16
70,2024-01-03 18:00:00,10.3,10.3,32,29.8
71,2024-01-03 19:00:00,12.9,11.3,23.1,19.8
72,2024-01-03 20:00:00,13.1,9.9,10.9,10.3
73,2024-01-03 21:00:00,9.3,8.1,9.3,9.1
74,2024-01-03 22:00:00,7.7,7.2,9.1,9.1
75,2024-01-03 23:00:00,5.7,4.6,10.9,10
76,2024-01-04 00:00:00,4.9,4.9,7.5,9.7
77,2024-01-04 01:00:00,5.7,4.7,7.4,9.2
78,2024-01-04 02:00:00,5.4,7.7,6,6.5
79,2024-01-04 03:00:00,5.6,9.7,6,5.7
80,2024-01-04 04:00:00,5.8,8.1,5.4,4.9
81,2024-01-04 05:00:00,6,7,5.7,5.7
82,2024-01-04 06:00:00,10.2,12.9,9,8.2
83,2024-01-04 07:00:00,12,12.4,13.6,12.7
84,2024-01-04 08:00:00,12.9,12,17.4,15
85,2024-01-04 09:00:00,14.5,10.7,17.3,14.9
86,2024-01-04 10:00:00,10.5,8.8,14.9,15.4
87,2024-01-04 11:00:00,11,6.8,11.9,13.7
88,2024-01-04 12:00:00,11.7,9.5,11.6,14.6
89,2024-01-04 13:00:00,10.8,9,11,10.3
90,2024-01-04 14:00:00,13.5,13.5,8.7,9.4
91,2024-01-04 15:00:00,13.9,11.4,10.2,10
92,2024-01-04 16:00:00,9.2,8.2,9.7,11.2
93,2024-01-04 17:00:00,8.6,7.1,10.2,11.2
94,2024-01-04 18:00:00,9.4,8,10.9,11.2
95,2024-01-04 19:00:00,8.3,8.7,9.3,9.4
96,2024-01-04 20:00:00,7.7,6.9,5.3,7.2
97,2024-01-04 21:00:00,7.7,5.9,6.1,7.3
98,2024-01-04 22:00:00,12.2,11.2,6.9,5.8
99,2024-01-04 23:00:00,10.9,11.1,4.3,4.6
100,2024-01-05 00:00:00,5.3,5.8,3.3,3.3
101,2024-01-05 01:00:00,5.4,4.4,5.5,4.7
102,2024-01-05 02:00:00,4.2,2.7,8.2,5.6
103,2024-01-05 03:00:00,3.8,1.7,5.5,7.7
104,2024-01-05 04:00:00,2,2.2,7,5.3
105,2024-01-05 05:00:00,2,4.5,9.3,7
106,2024-01-05 06:00:00,5.7,5.5,14.1,11.9
107,2024-01-05 07:00:00,14.6,18.5,29.6,25.9
108,2024-01-05 08:00:00,37.8,44.3,28.7,37.4
109,2024-01-05 09:00:00,43.8,45.3,36.9,30.1
110,2024-01-05 10:00:00,27.3,32.3,41.1,25.9
111,2024-01-05 11:00:00,21.1,29.5,27.9,14.6
112,2024-01-05 12:00:00,12.8,40,22,11.1
113,2024-01-05 13:00:00,16.9,29.4,21.6,12.8
114,2024-01-05 14:00:00,12.3,36.9,20.1,13
115,2024-01-05 15:00:00,15.3,41.5,21.4,13.8
116,2024-01-05 16:00:00,16.3,39,19.2,14.8
117,2024-01-05 17:00:00,18.3,39.9,20.5,17.3
118,2024-01-05 18:00:00,20.4,46.1,15.9,17
119,2024-01-05 19:00:00,17.1,36.7,15.4,11.2
120,2024-01-05 20:00:00,14.5,29.8,15.7,9.4
121,2024-01-05 21:00:00,10.8,28.3,12.8,9
122,2024-01-05 22:00:00,9.1,17.5,13.5,10
123,2024-01-05 23:00:00,8.7,20.9,14.4,12.6
124,2024-01-06 00:00:00,6.9,12.5,11.9,9.5
125,2024-01-06 01:00:00,6,10.3,8.4,8.3
126,2024-01-06 02:00:00,4.5,9.6,7.8,8.4
127,2024-01-06 03:00:00,4.4,9.2,8.9,8
128,2024-01-06 04:00:00,8.3,10.6,9.9,7.9
129,2024-01-06 05:00:00,6.6,10.6,9.6,7.5
130,2024-01-06 06:00:00,6,11.5,10.6,7.9
131,2024-01-06 07:00:00,5.4,9.9,11.2,7.5
132,2024-01-06 08:00:00,5.4,11.4,10.9,8
133,2024-01-06 09:00:00,5.9,12,8.9,6.3
134,2024-01-06 10:00:00,6.3,16.1,8.9,10
135,2024-01-06 11:00:00,5.9,18.3,8,8.7
136,2024-01-06 12:00:00,7.1,22.6,7.3,6.8
137,2024-01-06 13:00:00,8.6,24.6,6.8,8.7
138,2024-01-06 14:00:00,11.3,26.1,6.7,6.4
139,2024-01-06 15:00:00,13.1,26.7,,
140,2024-01-06 16:00:00,13,23.3,8,7.3
141,2024-01-06 17:00:00,12.2,23.2,7.8,8.4
142,2024-01-06 18:00:00,11.6,21.4,7.7,12.1
143,2024-01-06 19:00:00,11.3,21.7,7.2,10
144,2024-01-06 20:00:00,9.9,21.3,7.2,8.3
145,2024-01-06 21:00:00,8.6,16.9,6.7,8.8
146,2024-01-06 22:00:00,7,13,5.9,5.9
147,2024-01-06 23:00:00,7.8,11,4.9,8.4
148,2024-01-07 00:00:00,7.9,11.3,4.4,6.6
149,2024-01-07 01:00:00,7.2,10.1,2.9,6.5
150,2024-01-07 02:00:00,6.9,8.7,2.4,5.6
151,2024-01-07 03:00:00,5.7,7.2,2.1,6.3
152,2024-01-07 04:00:00,5.1,6.9,2.1,4.5
153,2024-01-07 05:00:00,4.5,7,2.2,7.1
154,2024-01-07 06:00:00,4.4,6.8,2.8,5.5
155,2024-01-07 07:00:00,4.8,7.7,3,6.1
156,2024-01-07 08:00:00,5.6,7.1,3.7,4.5
157,2024-01-07 09:00:00,5.7,11.3,4.3,5.3
158,2024-01-07 10:00:00,5.7,9.6,4.7,4.6
159,2024-01-07 11:00:00,6.2,13.8,3.5,3.8
160,2024-01-07 12:00:00,6.2,18.3,3.8,4
161,2024-01-07 13:00:00,6.5,16.7,4.7,4.4
162,2024-01-07 14:00:00,6.4,17.3,5.1,5.1
163,2024-01-07 15:00:00,6.8,17.4,6.7,6.4
164,2024-01-07 16:00:00,6.8,17.9,8.4,7.4
165,2024-01-07 17:00:00,7.7,17.8,9.3,7.8
166,2024-01-07 18:00:00,7.8,13.3,9.1,7.7
167,2024-01-07 19:00:00,7.1,17.8,7.7,7.2
168,2024-01-07 20:00:00,7,18.9,7.7,7.9
169,2024-01-07 21:00:00,7.2,17.5,6.7,6.5
170,2024-01-07 22:00:00,7.9,14,6.8,7.1
171,2024-01-07 23:00:00,8.9,12.1,6.7,7.4
172,2024-01-08 00:00:00,9.7,12.5,7.1,7.4
173,2024-01-08 01:00:00,10.8,11.1,8.5,9.4
174,2024-01-08 02:00:00,11.3,11.5,9.4,9.7
175,2024-01-08 03:00:00,11.6,11,10.3,8.3
176,2024-01-08 04:00:00,11,11,11.2,8.8
177,2024-01-08 05:00:00,10.4,13.7,11.2,9.9
178,2024-01-08 06:00:00,11.2,16,12.3,11
179,2024-01-08 07:00:00,13.3,24.7,14.4,14.6
180,2024-01-08 08:00:00,17,31.5,18.5,17.7
181,2024-01-08 09:00:00,16.8,35.5,20.8,19.8
182,2024-01-08 10:00:00,15,28.9,17.9,16.2
183,2024-01-08 11:00:00,13.4,26.6,13.3,14.2
184,2024-01-08 12:00:00,12.4,33.6,13.5,13.8
185,2024-01-08 13:00:00,13.6,32.3,15,13.1
186,2024-01-08 14:00:00,14.2,34.3,15.8,12.9
187,2024-01-08 15:00:00,16.1,39.9,17.9,15.8
188,2024-01-08 16:00:00,16.4,35.9,20.4,18.6
189,2024-01-08 17:00:00,18.1,41.5,21.7,21.6
190,2024-01-08 18:00:00,19.8,42.2,24.1,23.9
191,2024-01-08 19:00:00,20.2,38.9,23.5,28
192,2024-01-08 20:00:00,22.6,37.8,24.4,33.7
193,2024-01-08 21:00:00,23.6,40.4,24.6,27.6
194,2024-01-08 22:00:00,26.1,38.3,23.8,31.5
195,2024-01-08 23:00:00,26,36.7,21.3,31.5
196,2024-01-09 00:00:00,27.2,36.8,21.5,28
197,2024-01-09 01:00:00,27.4,31.1,22,22
198,2024-01-09 02:00:00,30.9,31.8,23,20.8
199,2024-01-09 03:00:00,31.1,30.3,18.6,21
200,2024-01-09 04:00:00,31.2,38.2,22.2,24.6
201,2024-01-09 05:00:00,38.6,43.5,25,27
202,2024-01-09 06:00:00,40.7,42.9,32.9,30.3
203,2024-01-09 07:00:00,44.5,45.2,38.4,35.5
204,2024-01-09 08:00:00,53.1,44.8,48.4,38.9
205,2024-01-09 09:00:00,45.2,43.1,46.4,37
206,2024-01-09 10:00:00,40.6,49.1,42.5,36.1
207,2024-01-09 11:00:00,40.2,50.6,43.7,27.9
208,2024-01-09 12:00:00,41.3,49.2,49.7,30.8
209,2024-01-09 13:00:00,29.4,50.2,56.8,33.5
210,2024-01-09 14:00:00,22.8,50,57.2,35.1
211,2024-01-09 15:00:00,32.7,50.7,58.8,51.7
212,2024-01-09 16:00:00,40.4,43.4,66.9,52.4
213,2024-01-09 17:00:00,69.6,68.2,82.8,66
214,2024-01-09 18:00:00,71.5,70.6,86.5,67.2
215,2024-01-09 19:00:00,70.5,68.4,88.8,62.5
216,2024-01-09 20:00:00,69.1,63.7,101.9,59.3
217,2024-01-09 21:00:00,68.4,63.2,77.7,55.1
218,2024-01-09 22:00:00,63.5,60,79.2,52.3
219,2024-01-09 23:00:00,60.2,52.9,76.4,49.6
220,2024-01-10 00:00:00,55.6,47.6,63,48.1
221,2024-01-10 01:00:00,52.2,44.8,62.4,42.8
222,2024-01-10 02:00:00,50.5,46.8,57,42.1
223,2024-01-10 03:00:00,49.1,43.2,50,41
224,2024-01-10 04:00:00,43.6,43.9,47.9,40.8
225,2024-01-10 05:00:00,40.1,44.3,46.3,40.4
226,2024-01-10 06:00:00,40.2,46.4,47.2,41.7
227,2024-01-10 07:00:00,51,58.8,54.2,43.3
228,2024-01-10 08:00:00,58.4,59.8,63,45.2
229,2024-01-10 09:00:00,55.4,62.8,66.3,54.9
230,2024-01-10 10:00:00,51,49.2,75.5,66.7
231,2024-01-10 11:00:00,46.4,30,72.3,82.1
232,2024-01-10 12:00:00,38.1,22.8,63.4,72.2
233,2024-01-10 13:00:00,27.5,24.1,64.8,73.9
234,2024-01-10 14:00:00,29.4,23.9,72,105.4
235,2024-01-10 15:00:00,28.9,34.6,70.5,85.8
236,2024-01-10 16:00:00,39.7,49.5,,
237,2024-01-10 17:00:00,63.1,64.6,73.1,84.1
238,2024-01-10 18:00:00,67.8,61.7,77.8,78.6
239,2024-01-10 19:00:00,60.6,,76.1,77.2
240,2024-01-10 20:00:00,56.3,,79.2,76.6
241,2024-01-10 21:00:00,49.5,,74.4,69.8
242,2024-01-10 22:00:00,48.3,,63.1,62.5
243,2024-01-10 23:00:00,48.9,,53.1,49.6
244,2024-01-11 00:00:00,43.5,,31.8,31.3
245,2024-01-11 01:00:00,34.4,,14.3,13.6
246,2024-01-11 02:00:00,32.2,,11.3,12.2
247,2024-01-11 03:00:00,29.7,,11.6,12.8
248,2024-01-11 04:00:00,24.2,,12,12.8
249,2024-01-11 05:00:00,22.5,,12.2,14.1
250,2024-01-11 06:00:00,23.2,,17.9,16.8
251,2024-01-11 07:00:00,24.7,,21.3,21.7
252,2024-01-11 08:00:00,31.6,,21.7,25.1
253,2024-01-11 09:00:00,30.3,30.2,27,25.1
254,2024-01-11 10:00:00,23.8,23.4,24.2,26.6
255,2024-01-11 11:00:00,21,16.8,21.4,22.9
256,2024-01-11 12:00:00,21.5,20,22.2,20.6
257,2024-01-11 13:00:00,18.6,16.1,27.9,22.6
258,2024-01-11 14:00:00,20.7,21.6,30.2,24.2
259,2024-01-11 15:00:00,24.8,25.6,26.9,21.5
260,2024-01-11 16:00:00,26.4,26.8,30.9,23.7
261,2024-01-11 17:00:00,27.8,26,27.6,23.6
262,2024-01-11 18:00:00,27.3,28.4,31.8,20.8
263,2024-01-11 19:00:00,20.4,24.6,24.9,18.3
264,2024-01-11 20:00:00,15.9,21,21.3,15.7
265,2024-01-11 21:00:00,13.5,19.2,19.2,15.7
266,2024-01-11 22:00:00,8.1,26.8,23.4,18.4
267,2024-01-11 23:00:00,9.3,22.9,12.8,17.2
268,2024-01-12 00:00:00,10.3,28.8,9.5,13.6
269,2024-01-12 01:00:00,5.2,18.3,6.6,9.6
270,2024-01-12 02:00:00,3.7,14,6,9.4
271,2024-01-12 03:00:00,4.3,20.2,12.3,12.8
272,2024-01-12 04:00:00,4.9,22.1,16.7,9.7
273,2024-01-12 05:00:00,6.2,32,25.5,14.7
274,2024-01-12 06:00:00,14.9,58.4,38.3,19.7
275,2024-01-12 07:00:00,18.4,57.9,42.4,31.3
276,2024-01-12 08:00:00,37.1,52.3,47.5,51
277,2024-01-12 09:00:00,53.2,56.5,31.2,48.1
278,2024-01-12 10:00:00,50.8,37,,34.5
279,2024-01-12 11:00:00,32,22,,27.7
280,2024-01-12 12:00:00,17.8,14.1,,21.1
281,2024-01-12 13:00:00,11.3,12.7,,17.7
282,2024-01-12 14:00:00,13.8,14.1,,15.7
283,2024-01-12 15:00:00,15.1,12.7,15.3,16.5
284,2024-01-12 16:00:00,16.8,13.2,16.1,16.5
285,2024-01-12 17:00:00,13.1,12.9,15.3,16.9
286,2024-01-12 18:00:00,11.4,10.9,15.4,15.8
287,2024-01-12 19:00:00,10,9.6,15.4,14.4
288,2024-01-12 20:00:00,9.9,9.8,14.1,15
289,2024-01-12 21:00:00,8.8,8.9,11.7,13.5
290,2024-01-12 22:00:00,8.9,8.3,10.7,11.9
291,2024-01-12 23:00:00,6.4,7.9,11.3,12
