,Date_time,LdLodzCzerni,WpPoznDabrow,WpPoznSzwajc
5,2024-01-01 01:00:00,43.2,41.3,67.9
6,2024-01-01 02:00:00,39.2,38.4,88.7
7,2024-01-01 03:00:00,39.2,25.8,84.6
8,2024-01-01 04:00:00,40.2,16.3,75.8
9,2024-01-01 05:00:00,40.2,12.6,50.8
10,2024-01-01 06:00:00,34.2,10.6,35
11,2024-01-01 07:00:00,28.3,9.9,36.8
12,2024-01-01 08:00:00,26.3,9,26.8
13,2024-01-01 09:00:00,29.3,8.5,27.6
14,2024-01-01 10:00:00,33.2,8.5,24.5
15,2024-01-01 11:00:00,25.3,8.5,22.8
16,2024-01-01 12:00:00,20.3,8.5,20.3
17,2024-01-01 13:00:00,19.3,8,19.3
18,2024-01-01 14:00:00,19.3,6.4,17.5
19,2024-01-01 15:00:00,20.3,7.2,16.3
20,2024-01-01 16:00:00,20.3,6.9,20
21,2024-01-01 17:00:00,19.3,8.9,23.8
22,2024-01-01 18:00:00,21.4,8.2,24.2
23,2024-01-01 19:00:00,21.4,8.1,21.8
24,2024-01-01 20:00:00,22.4,5.4,12
25,2024-01-01 21:00:00,15.4,5.3,13.7
26,2024-01-01 22:00:00,14.3,5.5,12.3
27,2024-01-01 23:00:00,12.4,5.1,12.1
28,2024-01-02 00:00:00,8.5,4.6,10.7
29,2024-01-02 01:00:00,9.4,3.8,9.4
30,2024-01-02 02:00:00,12.4,2.8,7.3
31,2024-01-02 03:00:00,11.4,2.1,5.5
32,2024-01-02 04:00:00,11.4,2.2,5.2
33,2024-01-02 05:00:00,10.4,1.9,5.9
34,2024-01-02 06:00:00,8.5,2,6.2
35,2024-01-02 07:00:00,7.4,2.2,6.7
36,2024-01-02 08:00:00,11.4,2.6,7.7
37,2024-01-02 09:00:00,13.4,2.5,9.7
38,2024-01-02 10:00:00,15.4,4.2,10.1
39,2024-01-02 11:00:00,13.4,4.2,10.8
40,2024-01-02 12:00:00,10.4,3,11.1
41,2024-01-02 13:00:00,6.4,3.4,11.8
42,2024-01-02 14:00:00,6.4,3.5,12.1
43,2024-01-02 15:00:00,8.5,3.7,14.2
44,2024-01-02 16:00:00,14.3,3.9,14.3
45,2024-01-02 17:00:00,14.3,4.4,17.8
46,2024-01-02 18:00:00,11.4,4.8,16.5
47,2024-01-02 19:00:00,12.4,5.1,17.3
48,2024-01-02 20:00:00,13.4,5.2,18.5
49,2024-01-02 21:00:00,11.4,5.2,17.6
50,2024-01-02 22:00:00,10.4,5,16.7
51,2024-01-02 23:00:00,11.4,4.2,19.1
52,2024-01-03 00:00:00,13.4,3.5,20
53,2024-01-03 01:00:00,15.4,,15.8
54,2024-01-03 02:00:00,16.4,,12.5
