,time,t_925,t_1000,t_delta,inversion_0/1,data,city
0,2004-01-01 00:00:00,268.93994,272.32153,3.3815918,1,2004-01-01,ld
1,2004-01-01 06:00:00,268.3191,271.2356,2.916504,1,2004-01-01,ld
2,2004-01-01 12:00:00,267.2827,272.1997,4.916992,1,2004-01-01,ld
3,2004-01-01 18:00:00,266.75928,270.88623,4.126953,1,2004-01-01,ld
4,2004-01-02 00:00:00,266.36914,270.64038,4.27124,1,2004-01-02,ld
5,2004-01-02 06:00:00,264.98975,269.4829,4.493164,1,2004-01-02,ld
6,2004-01-02 12:00:00,264.4856,269.44238,4.956787,1,2004-01-02,ld
7,2004-01-02 18:00:00,262.84033,267.76294,4.9226074,1,2004-01-02,ld
8,2004-01-03 00:00:00,260.8557,265.80225,4.946533,1,2004-01-03,ld
9,2004-01-03 06:00:00,259.5432,264.64697,5.10376,1,2004-01-03,ld
10,2004-01-03 12:00:00,260.53955,265.60352,5.063965,1,2004-01-03,ld
11,2004-01-03 18:00:00,260.50635,265.0652,4.558838,1,2004-01-03,ld
12,2004-01-04 00:00:00,260.98926,262.70532,1.7160645,1,2004-01-04,ld
13,2004-01-04 06:00:00,261.68945,262.3816,0.6921387,1,2004-01-04,ld
14,2004-01-04 12:00:00,262.3772,263.3037,0.9265137,1,2004-01-04,ld
15,2004-01-04 18:00:00,261.43774,263.39136,1.9536133,1,2004-01-04,ld
16,2004-01-05 00:00:00,260.8811,262.34644,1.465332,1,2004-01-05,ld
17,2004-01-05 06:00:00,259.31494,261.0852,1.7702637,1,2004-01-05,ld
18,2004-01-05 12:00:00,259.50122,262.17188,2.6706543,1,2004-01-05,ld
19,2004-01-05 18:00:00,262.51318,263.50928,0.99609375,1,2004-01-05,ld
20,2004-01-06 00:00:00,264.989,266.03516,1.0461426,1,2004-01-06,ld
21,2004-01-06 06:00:00,265.177,265.13086,-0.046142578,0,2004-01-06,ld
22,2004-01-06 12:00:00,265.00586,266.8169,1.8110352,1,2004-01-06,ld
23,2004-01-06 18:00:00,264.91797,264.45142,-0.46655273,0,2004-01-06,ld
24,2004-01-07 00:00:00,269.06836,264.04834,-5.0200195,0,2004-01-07,ld
25,2004-01-07 06:00:00,268.1272,264.87305,-3.2541504,0,2004-01-07,ld
26,2004-01-07 12:00:00,266.15234,267.3374,1.1850586,1,2004-01-07,ld
27,2004-01-07 18:00:00,266.16406,266.61353,0.4494629,1,2004-01-07,ld
28,2004-01-08 00:00:00,267.20337,264.95337,-2.25,0,2004-01-08,ld
29,2004-01-08 06:00:00,267.47925,261.94653,-5.532715,0,2004-01-08,ld
30,2004-01-08 12:00:00,269.29175,262.16626,-7.1254883,0,2004-01-08,ld
31,2004-01-08 18:00:00,270.30566,260.2256,-10.080078,0,2004-01-08,ld
32,2004-01-09 00:00:00,270.32153,260.27808,-10.043457,0,2004-01-09,ld
33,2004-01-09 06:00:00,271.1311,262.14014,-8.990967,0,2004-01-09,ld
34,2004-01-09 12:00:00,267.85547,266.9475,-0.907959,0,2004-01-09,ld
35,2004-01-09 18:00:00,267.7246,269.77563,2.0510254,1,2004-01-09,ld
36,2004-01-10 00:00:00,269.33447,270.23267,0.89819336,1,2004-01-10,ld
37,2004-01-10 06:00:00,269.60352,271.61157,2.0080566,1,2004-01-10,ld
38,2004-01-10 12:00:00,267.99707,269.2693,1.2722168,1,2004-01-10,ld
39,2004-01-10 18:00:00,264.97534,265.2207,0.24536133,1,2004-01-10,ld
40,2004-01-11 00:00:00,265.34863,264.73657,-0.61206055,0,2004-01-11,ld
41,2004-01-11 06:00:00,267.71118,264.2119,-3.4992676,0,2004-01-11,ld
42,2004-01-11 12:00:00,270.56738,267.365,-3.2023926,0,2004-01-11,ld
43,2004-01-11 18:00:00,273.11792,274.19507,1.0771484,1,2004-01-11,ld
44,2004-01-12 00:00:00,272.18018,275.52563,3.345459,1,2004-01-12,ld
45,2004-01-12 06:00:00,275.3811,277.10815,1.7270508,1,2004-01-12,ld
46,2004-01-12 12:00:00,273.239,275.87183,2.6328125,1,2004-01-12,ld
47,2004-01-12 18:00:00,272.60083,275.76538,3.1645508,1,2004-01-12,ld
48,2004-01-13 00:00:00,275.15063,275.989,0.8383789,1,2004-01-13,ld
49,2004-01-13 06:00:00,273.14014,273.71655,0.576416,1,2004-01-13,ld
50,2004-01-13 12:00:00,272.42114,274.1692,1.7480469,1,2004-01-13,ld
51,2004-01-13 18:00:00,272.9895,276.30884,3.319336,1,2004-01-13,ld
52,2004-01-14 00:00:00,275.7229,278.94043,3.2175293,1,2004-01-14,ld
53,2004-01-14 06:00:00,274.52295,278.56738,4.0444336,1,2004-01-14,ld
54,2004-01-14 12:00:00,274.6189,279.10596,4.4870605,1,2004-01-14,ld
55,2004-01-14 18:00:00,273.2351,277.07593,3.8408203,1,2004-01-14,ld
56,2004-01-15 00:00:00,271.8562,275.96802,4.1118164,1,2004-01-15,ld
57,2004-01-15 06:00:00,271.4231,275.32227,3.89917,1,2004-01-15,ld
58,2004-01-15 12:00:00,271.03345,275.5581,4.524658,1,2004-01-15,ld
59,2004-01-15 18:00:00,268.8562,273.63452,4.7783203,1,2004-01-15,ld
60,2004-01-16 00:00:00,269.72485,273.54028,3.8154297,1,2004-01-16,ld
61,2004-01-16 06:00:00,271.0725,273.63818,2.5656738,1,2004-01-16,ld
62,2004-01-16 12:00:00,272.2251,275.96045,3.7353516,1,2004-01-16,ld
63,2004-01-16 18:00:00,272.26196,276.29028,4.0283203,1,2004-01-16,ld
64,2004-01-17 00:00:00,273.4546,276.57373,3.1191406,1,2004-01-17,ld
65,2004-01-17 06:00:00,274.1106,277.0022,2.8916016,1,2004-01-17,ld
66,2004-01-17 12:00:00,274.42578,279.323,4.897217,1,2004-01-17,ld
67,2004-01-17 18:00:00,273.01636,276.77734,3.7609863,1,2004-01-17,ld
68,2004-01-18 00:00:00,272.1106,275.52173,3.4111328,1,2004-01-18,ld
69,2004-01-18 06:00:00,268.5852,272.05298,3.4677734,1,2004-01-18,ld
70,2004-01-18 12:00:00,267.58203,272.75684,5.1748047,1,2004-01-18,ld
71,2004-01-18 18:00:00,267.2854,270.84595,3.5605469,1,2004-01-18,ld
72,2004-01-19 00:00:00,267.84717,269.46362,1.6164551,1,2004-01-19,ld
73,2004-01-19 06:00:00,269.59302,268.55518,-1.0378418,0,2004-01-19,ld
74,2004-01-19 12:00:00,267.98242,271.39673,3.4143066,1,2004-01-19,ld
75,2004-01-19 18:00:00,269.14478,273.4961,4.3513184,1,2004-01-19,ld
