,time,t_925,t_1000,t_delta,inversion_0/1,data
0,2023-01-01 00:00:00,285.5205,288.55835,3.0378418,1,2023-01-01
1,2023-01-01 06:00:00,285.55542,287.87378,2.3183594,1,2023-01-01
2,2023-01-01 12:00:00,283.87158,288.74414,4.8725586,1,2023-01-01
3,2023-01-01 18:00:00,282.84888,286.1101,3.2612305,1,2023-01-01
4,2023-01-02 00:00:00,282.187,284.41626,2.229248,1,2023-01-02
5,2023-01-02 06:00:00,287.0808,282.6277,-4.453125,0,2023-01-02
6,2023-01-02 12:00:00,285.4038,286.6775,1.2736816,1,2023-01-02
7,2023-01-02 18:00:00,282.50195,284.93994,2.4379883,1,2023-01-02
8,2023-01-03 00:00:00,277.78174,282.89722,5.1154785,1,2023-01-03
9,2023-01-03 06:00:00,274.57812,279.35376,4.775635,1,2023-01-03
10,2023-01-03 12:00:00,272.19507,278.28613,6.0910645,1,2023-01-03
11,2023-01-03 18:00:00,272.21777,276.6709,4.453125,1,2023-01-03
12,2023-01-04 00:00:00,274.511,276.67725,2.1662598,1,2023-01-04
13,2023-01-04 06:00:00,275.35205,276.8733,1.5212402,1,2023-01-04
14,2023-01-04 12:00:00,274.80396,278.90234,4.0983887,1,2023-01-04
15,2023-01-04 18:00:00,278.09497,281.7815,3.6865234,1,2023-01-04
16,2023-01-05 00:00:00,279.17578,283.24585,4.0700684,1,2023-01-05
17,2023-01-05 06:00:00,277.5188,281.70044,4.1816406,1,2023-01-05
18,2023-01-05 12:00:00,275.87207,280.91357,5.041504,1,2023-01-05
19,2023-01-05 18:00:00,272.26636,277.29224,5.025879,1,2023-01-05
20,2023-01-06 00:00:00,271.3286,276.5337,5.205078,1,2023-01-06
21,2023-01-06 06:00:00,270.54346,275.17212,4.628662,1,2023-01-06
22,2023-01-06 12:00:00,275.21216,275.79883,0.5866699,1,2023-01-06
23,2023-01-06 18:00:00,277.51392,280.90454,3.390625,1,2023-01-06
24,2023-01-07 00:00:00,275.8081,280.09448,4.286377,1,2023-01-07
25,2023-01-07 06:00:00,276.08008,278.1438,2.0637207,1,2023-01-07
26,2023-01-07 12:00:00,276.91162,279.89087,2.979248,1,2023-01-07
27,2023-01-07 18:00:00,277.865,279.2693,1.4042969,1,2023-01-07
28,2023-01-08 00:00:00,277.67578,277.59448,-0.08129883,0,2023-01-08
29,2023-01-08 06:00:00,278.50732,276.67725,-1.8300781,0,2023-01-08
30,2023-01-08 12:00:00,280.5122,280.29102,-0.2211914,0,2023-01-08
31,2023-01-08 18:00:00,279.01465,280.12158,1.1069336,1,2023-01-08
32,2023-01-09 00:00:00,277.79907,278.7224,0.92333984,1,2023-01-09
33,2023-01-09 06:00:00,278.2522,277.80054,-0.45166016,0,2023-01-09
34,2023-01-09 12:00:00,277.00684,278.10718,1.1003418,1,2023-01-09
35,2023-01-09 18:00:00,274.63647,279.64868,5.012207,1,2023-01-09
36,2023-01-10 00:00:00,276.18774,278.89722,2.7094727,1,2023-01-10
37,2023-01-10 06:00:00,275.312,277.14404,1.8320312,1,2023-01-10
38,2023-01-10 12:00:00,274.0371,278.6726,4.635498,1,2023-01-10
39,2023-01-10 18:00:00,273.95068,277.44727,3.496582,1,2023-01-10
40,2023-01-11 00:00:00,273.84912,277.39966,3.550537,1,2023-01-11
41,2023-01-11 06:00:00,274.90698,274.76587,-0.14111328,0,2023-01-11
42,2023-01-11 12:00:00,276.43774,277.66016,1.2224121,1,2023-01-11
43,2023-01-11 18:00:00,276.18604,279.385,3.1989746,1,2023-01-11
44,2023-01-12 00:00:00,277.2788,280.00903,2.7302246,1,2023-01-12
45,2023-01-12 06:00:00,275.89648,277.93408,2.0375977,1,2023-01-12
46,2023-01-12 12:00:00,276.8335,281.27197,4.4384766,1,2023-01-12
47,2023-01-12 18:00:00,277.22095,281.75073,4.529785,1,2023-01-12
48,2023-01-13 00:00:00,278.46582,282.40576,3.9399414,1,2023-01-13
49,2023-01-13 06:00:00,278.23804,282.3108,4.072754,1,2023-01-13
50,2023-01-13 12:00:00,278.78857,283.1277,4.3391113,1,2023-01-13
51,2023-01-13 18:00:00,276.7151,280.49023,3.7751465,1,2023-01-13
52,2023-01-14 00:00:00,275.6692,279.15723,3.488037,1,2023-01-14
53,2023-01-14 06:00:00,274.57764,279.30737,4.7297363,1,2023-01-14
54,2023-01-14 12:00:00,274.9458,281.13696,6.191162,1,2023-01-14
55,2023-01-14 18:00:00,276.10522,280.36548,4.260254,1,2023-01-14
56,2023-01-15 00:00:00,276.96582,280.6333,3.6674805,1,2023-01-15
57,2023-01-15 06:00:00,278.8098,282.5603,3.7504883,1,2023-01-15
58,2023-01-15 12:00:00,274.72534,279.88672,5.161377,1,2023-01-15
59,2023-01-15 18:00:00,274.79224,278.94727,4.1550293,1,2023-01-15
60,2023-01-16 00:00:00,274.10742,277.92993,3.8225098,1,2023-01-16
61,2023-01-16 06:00:00,274.2102,276.81714,2.6069336,1,2023-01-16
62,2023-01-16 12:00:00,275.1289,278.52197,3.3930664,1,2023-01-16
63,2023-01-16 18:00:00,274.59766,277.47974,2.88208,1,2023-01-16
64,2023-01-17 00:00:00,274.22656,276.44604,2.2194824,1,2023-01-17
65,2023-01-17 06:00:00,273.9348,276.97827,3.043457,1,2023-01-17
66,2023-01-17 12:00:00,274.46826,279.47192,5.003662,1,2023-01-17
