,time,latitude,longitude,number,step,surface,valid_time,u10,v10,t2m,blh,sp,tcc
0,2004-01-01 00:00:00,51.75,19.5,0,0 days,0.0,2004-01-01 00:00:00,0.7941437,-3.4669647,272.89502,413.9873,99670.0,0.98999023
1,2004-01-01 06:00:00,51.75,19.5,0,0 days,0.0,2004-01-01 06:00:00,0.83325195,-3.170166,271.41577,404.84766,99482.06,0.9839783
2,2004-01-01 12:00:00,51.75,19.5,0,0 days,0.0,2004-01-01 12:00:00,0.5609131,-3.8199463,271.91187,549.08154,99248.31,0.7333069
3,2004-01-01 18:00:00,51.75,19.5,0,0 days,0.0,2004-01-01 18:00:00,1.7661743,-2.8872833,270.11084,382.47217,99025.31,0.7134094
4,2004-01-02 00:00:00,51.75,19.5,0,0 days,0.0,2004-01-02 00:00:00,2.4702759,-2.2389069,270.04688,454.6748,98845.0,0.8383179
5,2004-01-02 06:00:00,51.75,19.5,0,0 days,0.0,2004-01-02 06:00:00,2.7072906,-2.5086517,269.23413,587.3091,98833.5,0.94473267
6,2004-01-02 12:00:00,51.75,19.5,0,0 days,0.0,2004-01-02 12:00:00,2.0598755,-4.883133,269.6377,741.5376,99037.75,0.91522217
7,2004-01-02 18:00:00,51.75,19.5,0,0 days,0.0,2004-01-02 18:00:00,0.9247284,-4.8880463,268.13257,798.98706,99349.69,0.8841858
8,2004-01-03 00:00:00,51.75,19.5,0,0 days,0.0,2004-01-03 00:00:00,0.3864441,-4.517151,266.24878,705.8159,99589.44,0.9521179
9,2004-01-03 06:00:00,51.75,19.5,0,0 days,0.0,2004-01-03 06:00:00,0.7055359,-5.419922,264.55444,715.0244,99757.31,1.0
10,2004-01-03 12:00:00,51.75,19.5,0,0 days,0.0,2004-01-03 12:00:00,1.2645874,-4.310974,265.7837,717.0078,99740.125,1.0
11,2004-01-03 18:00:00,51.75,19.5,0,0 days,0.0,2004-01-03 18:00:00,0.2440033,-3.168747,264.8994,559.67065,99797.19,0.5545044
