,time,latitude,longitude,number,step,surface,valid_time,u10,v10,t2m,blh,sp,tcc
0,2004-01-01 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-01 00:00:00,1.5685577,-2.1866913,273.0044,243.42494,101123.0,0.840271
1,2004-01-01 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-01 06:00:00,0.8186035,-2.192627,270.6267,279.72266,100916.06,0.7813721
2,2004-01-01 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-01 12:00:00,-1.2642822,-2.5933838,272.32202,688.95654,100660.31,0.8892822
3,2004-01-01 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-01 18:00:00,0.08453369,-3.3853302,270.79834,492.09717,100484.31,0.5996704
4,2004-01-02 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-02 00:00:00,1.166565,-2.747696,270.69727,828.9873,100383.0,0.92614746
5,2004-01-02 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-02 06:00:00,1.6428375,-3.6453705,270.7439,755.5591,100334.5,0.93927
6,2004-01-02 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-02 12:00:00,-1.2780151,-5.053055,271.5713,1076.2876,100592.75,0.8086548
7,2004-01-02 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-02 18:00:00,-0.48835754,-4.118515,270.7224,1058.862,100897.69,0.9968872
8,2004-01-03 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-03 00:00:00,-0.3196106,-3.449768,269.63745,958.8159,101107.44,0.9968872
9,2004-01-03 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-03 06:00:00,0.37643433,-3.3144531,268.1853,1220.2744,101203.31,0.9937439
10,2004-01-03 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-03 12:00:00,-1.0401001,-4.201599,270.4751,972.2578,101203.125,0.68237305
11,2004-01-03 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-03 18:00:00,-0.033340454,-1.699997,267.05762,206.5457,101223.19,0.8630066
12,2004-01-04 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-04 00:00:00,-1.3881836,-1.3005524,262.24902,132.75006,101101.94,0.9989929
13,2004-01-04 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-04 06:00:00,-0.7050476,0.38464355,263.37085,178.84308,100877.5,1.0
14,2004-01-04 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-04 12:00:00,-1.6551514,0.5175934,266.88232,381.17407,100734.625,1.0
15,2004-01-04 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-04 18:00:00,-0.98072815,0.9662323,264.00854,282.74805,100690.875,1.0
16,2004-01-05 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-05 00:00:00,-2.0617218,0.1659851,262.10425,216.2965,100660.75,0.62661743
17,2004-01-05 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-05 06:00:00,-2.3105774,-1.5989227,260.88232,285.12915,100808.125,0.98516846
18,2004-01-05 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-05 12:00:00,-2.2066803,-1.4146118,265.8723,489.33643,101229.44,0.0
19,2004-01-05 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-05 18:00:00,-0.13395691,-1.6909637,263.14526,149.37415,101614.31,0.56903076
20,2004-01-06 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-06 00:00:00,-1.0866547,0.19586182,263.94116,71.71443,101807.0,0.9844055
21,2004-01-06 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-06 06:00:00,-0.10594177,1.7279053,261.57227,111.305405,101878.0,0.6001282
22,2004-01-06 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-06 12:00:00,-1.8021545,4.6163483,268.0664,518.5676,101712.25,0.94628906
23,2004-01-06 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-06 18:00:00,-2.5439606,5.745941,266.80615,502.73633,101325.125,0.94750977
24,2004-01-07 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-07 00:00:00,-2.9029694,5.5525055,267.9839,484.62378,100811.19,0.9958496
25,2004-01-07 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-07 06:00:00,-1.6758881,4.1712646,268.43506,433.53516,100534.06,1.0
26,2004-01-07 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-07 12:00:00,-0.6355591,2.4477844,270.13013,269.82275,100600.56,0.96414185
27,2004-01-07 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-07 18:00:00,-1.5442963,1.6264648,270.16113,119.10614,100686.06,0.9989929
28,2004-01-08 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-08 00:00:00,-2.04216,1.5037689,270.39795,157.37936,100790.375,0.9727478
29,2004-01-08 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-08 06:00:00,-2.3556519,1.4852448,269.89062,175.06648,100899.625,0.97073364
30,2004-01-08 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-08 12:00:00,-2.9469452,1.8175507,270.26904,239.6212,100833.31,0.98172
31,2004-01-08 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-08 18:00:00,-3.31427,2.722168,268.00977,238.4167,100657.44,0.9375305
32,2004-01-09 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-09 00:00:00,-4.318115,1.9415436,266.13672,216.59108,100229.625,0.901062
33,2004-01-09 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-09 06:00:00,-2.7159271,3.9359436,266.32227,310.198,99788.25,0.91796875
34,2004-01-09 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-09 12:00:00,-1.8952484,1.8423767,269.2129,346.11035,99505.5,0.99386597
35,2004-01-09 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-09 18:00:00,-1.3842773,1.4264374,269.01343,144.348,99346.0,0.9768982
36,2004-01-10 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-10 00:00:00,-1.3311768,-0.28578186,269.50977,69.48782,99298.375,1.0
37,2004-01-10 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-10 06:00:00,-1.3003082,-1.6062164,268.75464,152.01212,99463.375,0.98583984
38,2004-01-10 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-10 12:00:00,-0.9998474,-2.240982,267.58105,242.29456,99926.125,0.86520386
39,2004-01-10 18:00:00,52.5,17.0,0,0 days,0.0,2004-01-10 18:00:00,-1.1720734,-1.8439331,263.27856,57.610916,100469.75,0.53234863
40,2004-01-11 00:00:00,52.5,17.0,0,0 days,0.0,2004-01-11 00:00:00,-0.6616974,1.1218872,264.99463,66.45868,100727.75,1.0
41,2004-01-11 06:00:00,52.5,17.0,0,0 days,0.0,2004-01-11 06:00:00,-1.659378,2.1798859,265.23926,151.16096,100670.31,1.0
42,2004-01-11 12:00:00,52.5,17.0,0,0 days,0.0,2004-01-11 12:00:00,-2.2631683,3.3823853,268.55176,243.48557,100216.69,0.8211975
