,time,step,latitude,longitude,number,surface,valid_time,tp
0,2021-12-31 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2021-12-31 19:00:00,
1,2021-12-31 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2021-12-31 20:00:00,
2,2021-12-31 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2021-12-31 21:00:00,
3,2021-12-31 18:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2021-12-31 22:00:00,
4,2021-12-31 18:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2021-12-31 23:00:00,
5,2021-12-31 18:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-01 00:00:00,6.484985e-05
6,2021-12-31 18:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2022-01-01 01:00:00,8.916855e-05
7,2021-12-31 18:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2022-01-01 02:00:00,3.528595e-05
8,2021-12-31 18:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2022-01-01 03:00:00,3.6239624e-05
9,2021-12-31 18:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2022-01-01 04:00:00,9.9658966e-05
10,2021-12-31 18:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2022-01-01 05:00:00,9.8228455e-05
11,2021-12-31 18:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-01 06:00:00,0.00031852722
12,2022-01-01 06:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-01 07:00:00,0.0001282692
13,2022-01-01 06:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-01 08:00:00,9.536743e-05
14,2022-01-01 06:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-01 09:00:00,0.0001487732
15,2022-01-01 06:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2022-01-01 10:00:00,0.00021219254
16,2022-01-01 06:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2022-01-01 11:00:00,0.00017261505
17,2022-01-01 06:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-01 12:00:00,0.00013494492
