,time,latitude,longitude,number,step,surface,valid_time,u10,v10,t2m,blh,sp,tcc
0,2023-01-01 00:00:00,51.75,19.5,0,0 days,0.0,2023-01-01 00:00:00,5.3533325,4.853073,285.8401,647.28076,99286.125,0.7875366
1,2023-01-01 06:00:00,51.75,19.5,0,0 days,0.0,2023-01-01 06:00:00,6.1531067,3.7186127,286.22705,745.22437,99435.44,0.5967407
2,2023-01-01 12:00:00,51.75,19.5,0,0 days,0.0,2023-01-01 12:00:00,5.4344025,3.8669434,289.67798,815.42725,99555.25,0.80963135
3,2023-01-01 18:00:00,51.75,19.5,0,0 days,0.0,2023-01-01 18:00:00,3.2969818,3.0803986,284.96606,291.8579,99843.5,0.9855652
4,2023-01-02 00:00:00,51.75,19.5,0,0 days,0.0,2023-01-02 00:00:00,2.0586395,3.2537231,281.79956,184.28812,99938.31,0.98999023
5,2023-01-02 06:00:00,51.75,19.5,0,0 days,0.0,2023-01-02 06:00:00,1.6862488,4.750641,280.58545,256.59937,99767.25,0.29345703
6,2023-01-02 12:00:00,51.75,19.5,0,0 days,0.0,2023-01-02 12:00:00,3.4733887,4.4212036,285.75757,470.95337,99599.56,0.9638977
7,2023-01-02 18:00:00,51.75,19.5,0,0 days,0.0,2023-01-02 18:00:00,4.0076447,3.2911835,283.37695,325.84106,99582.56,0.90267944
8,2023-01-03 00:00:00,51.75,19.5,0,0 days,0.0,2023-01-03 00:00:00,4.911072,2.1016083,282.2744,485.61108,99705.44,0.9750366
9,2023-01-03 06:00:00,51.75,19.5,0,0 days,0.0,2023-01-03 06:00:00,4.9726105,-0.4874115,280.64746,799.188,100086.81,0.97442627
10,2023-01-03 12:00:00,51.75,19.5,0,0 days,0.0,2023-01-03 12:00:00,5.672989,-0.45658875,280.4358,1098.1128,100351.06,0.8699951
11,2023-01-03 18:00:00,51.75,19.5,0,0 days,0.0,2023-01-03 18:00:00,3.4522095,-0.5971527,276.2185,702.7102,100549.69,0.26678467
12,2023-01-04 00:00:00,51.75,19.5,0,0 days,0.0,2023-01-04 00:00:00,2.8626251,0.4908905,273.70215,311.45483,100642.44,0.54611206
13,2023-01-04 06:00:00,51.75,19.5,0,0 days,0.0,2023-01-04 06:00:00,0.93478394,2.7213135,271.30127,137.2342,100377.44,1.0
14,2023-01-04 12:00:00,51.75,19.5,0,0 days,0.0,2023-01-04 12:00:00,2.8365479,6.0217743,278.05933,642.7578,99705.0,1.0
15,2023-01-04 18:00:00,51.75,19.5,0,0 days,0.0,2023-01-04 18:00:00,6.691284,4.4724426,278.62866,945.76904,98981.5,1.0
16,2023-01-05 00:00:00,51.75,19.5,0,0 days,0.0,2023-01-05 00:00:00,7.690262,2.930893,281.42236,1174.8418,98452.25,1.0
17,2023-01-05 06:00:00,51.75,19.5,0,0 days,0.0,2023-01-05 06:00:00,7.809387,0.21420288,281.1599,1149.7888,98273.44,0.99798584
