,time,latitude,longitude,number,step,surface,valid_time,u10,v10,t2m,blh,sp,tcc
0,2021-01-01 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-01 00:00:00,-2.4223022,2.0713654,270.71216,147.41356,99757.56,0.93148804
1,2021-01-01 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-01 06:00:00,-2.407318,2.5378113,270.98218,250.48758,99785.56,1.0
2,2021-01-01 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-01 12:00:00,-0.63975525,3.023941,271.01196,346.94922,99814.125,1.0
3,2021-01-01 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-01 18:00:00,0.4154663,2.587265,271.9099,175.6963,99937.69,0.99490356
4,2021-01-02 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-02 00:00:00,1.1030731,1.3355408,273.76782,113.654526,100210.56,0.9711304
5,2021-01-02 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-02 06:00:00,0.45587158,1.419632,272.5923,77.243576,100417.06,0.79019165
6,2021-01-02 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-02 12:00:00,-0.17984009,0.9434967,273.81104,273.46265,100541.875,1.0
7,2021-01-02 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-02 18:00:00,-2.0841827,-0.649292,272.58154,271.88208,100690.81,0.9803467
8,2021-01-03 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-03 00:00:00,-3.3377075,-2.0703583,272.70776,317.34668,100674.56,1.0
9,2021-01-03 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-03 06:00:00,-4.59346,-2.9020386,273.1819,395.3999,100526.81,1.0
10,2021-01-03 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-03 12:00:00,-4.1333313,-2.6732788,273.5835,399.36572,100480.06,1.0
11,2021-01-03 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-03 18:00:00,-4.313156,-2.0182648,274.25293,498.79346,100471.69,0.9680786
12,2021-01-04 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-04 00:00:00,-3.9412384,-1.6796112,274.13892,415.49512,100568.56,0.98687744
13,2021-01-04 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-04 06:00:00,-3.1593018,-1.4662628,273.9287,376.23755,100582.44,1.0
14,2021-01-04 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-04 12:00:00,-3.0093231,-1.1883698,274.27563,358.56396,100654.5,1.0
15,2021-01-04 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-04 18:00:00,-2.969513,-2.1324463,274.2378,372.98877,100686.56,1.0
16,2021-01-05 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-05 00:00:00,-2.5517578,-2.2976227,274.20776,303.604,100617.75,1.0
17,2021-01-05 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-05 06:00:00,-2.3776093,-3.8444977,273.76465,373.12183,100504.81,1.0
18,2021-01-05 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-05 12:00:00,-1.1811981,-4.0471954,274.4834,506.72656,100288.0,1.0
19,2021-01-05 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-05 18:00:00,-0.60357666,-4.122986,273.94336,532.12646,100057.69,1.0
20,2021-01-06 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-06 00:00:00,0.41654968,-1.2687836,273.6228,126.262726,99946.5,0.9941406
21,2021-01-06 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-06 06:00:00,0.488739,1.2369232,273.50317,160.54935,99898.5,1.0
22,2021-01-06 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-06 12:00:00,1.1605988,2.0336914,273.86426,337.2688,99976.69,0.98828125
23,2021-01-06 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-06 18:00:00,-0.24258423,1.4667358,273.7859,160.75128,99972.0,0.9941406
24,2021-01-07 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-07 00:00:00,0.72024536,1.2085571,273.03833,98.4458,99901.625,1.0
25,2021-01-07 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-07 06:00:00,2.2407074,1.4216461,273.4944,295.0354,99814.5,1.0
26,2021-01-07 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-07 12:00:00,4.1047516,0.7776642,273.68677,525.3843,99845.19,0.97579956
27,2021-01-07 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-07 18:00:00,3.3496857,2.3638916,274.08276,562.84985,99981.25,0.9941406
28,2021-01-08 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-08 00:00:00,2.69635,2.5010529,274.12134,388.35205,100015.69,1.0
29,2021-01-08 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-08 06:00:00,1.8917236,2.4720306,273.4143,264.5481,100037.5,0.9968872
30,2021-01-08 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-08 12:00:00,2.9575653,1.8759155,274.6245,748.3386,100105.5,0.9637451
31,2021-01-08 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-08 18:00:00,1.2050018,0.9867096,273.35034,111.77916,100292.0,0.95840454
32,2021-01-09 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-09 00:00:00,1.4273224,0.028579712,273.40234,93.47739,100442.375,0.9352112
33,2021-01-09 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-09 06:00:00,2.2996674,-0.53234863,273.69604,228.05205,100643.81,0.9906311
34,2021-01-09 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-09 12:00:00,3.5422363,-0.70033264,274.063,591.7007,100793.19,1.0
35,2021-01-09 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-09 18:00:00,2.488449,0.14633179,273.84912,326.0996,100963.625,0.9700012
36,2021-01-10 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-10 00:00:00,2.2041626,0.10493469,273.99,211.87288,101049.875,1.0
37,2021-01-10 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-10 06:00:00,0.7012024,-1.1121521,273.93164,89.70508,101183.0,0.96813965
38,2021-01-10 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-10 12:00:00,1.3695221,-0.16416931,274.1919,238.90192,101254.06,1.0
39,2021-01-10 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-10 18:00:00,2.8154907,0.38505554,273.39136,464.31396,101260.56,0.9948425
40,2021-01-11 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-11 00:00:00,2.8016663,2.4151917,271.65747,517.33325,101113.0,0.9941406
41,2021-01-11 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-11 06:00:00,3.2014008,3.0412598,270.6565,447.63818,100929.44,0.98217773
42,2021-01-11 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-11 12:00:00,2.9879608,3.3405762,272.96045,519.1577,100792.31,1.0
43,2021-01-11 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-11 18:00:00,2.5088959,4.447357,272.65063,551.0112,100540.69,0.76239014
44,2021-01-12 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-12 00:00:00,2.7828064,5.277649,273.31616,659.8718,100066.375,1.0
45,2021-01-12 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-12 06:00:00,3.9883728,5.648468,273.55273,750.63525,99514.25,1.0
46,2021-01-12 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-12 12:00:00,3.7144775,4.789276,273.50854,637.3943,99135.75,1.0
47,2021-01-12 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-12 18:00:00,3.236084,0.5790405,273.67212,369.99512,98981.5,1.0
48,2021-01-13 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-13 00:00:00,4.1532135,0.2881012,272.86108,490.08032,99321.25,0.96383667
49,2021-01-13 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-13 06:00:00,4.9465027,0.18914795,272.69385,670.2908,99527.19,0.90826416
50,2021-01-13 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-13 12:00:00,4.667328,1.2964478,274.4536,838.5818,99545.25,0.65078735
51,2021-01-13 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-13 18:00:00,1.6579742,3.509613,273.6775,483.5869,99247.0,1.0
52,2021-01-14 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-14 00:00:00,2.8096924,0.22151184,273.7849,311.4934,99067.56,0.9841614
53,2021-01-14 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-14 06:00:00,-1.8581696,-3.3820953,273.32764,292.96973,99594.81,0.65527344
54,2021-01-14 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-14 12:00:00,2.1883087,-3.2743225,272.91187,346.95435,100227.06,0.98547363
55,2021-01-14 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-14 18:00:00,0.28500366,-2.9445038,273.4004,417.92456,100558.75,0.4074402
56,2021-01-15 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-15 00:00:00,0.8852234,-2.8225403,271.28833,204.40186,100698.5,0.7971802
57,2021-01-15 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-15 06:00:00,1.7122803,-0.8336792,270.16016,35.63565,100812.69,0.99694824
58,2021-01-15 12:00:00,52.5,17.0,0,0 days,0.0,2021-01-15 12:00:00,1.4623413,-4.012741,271.83423,473.1582,100911.5,0.9093628
59,2021-01-15 18:00:00,52.5,17.0,0,0 days,0.0,2021-01-15 18:00:00,2.3918762,-3.272171,269.9077,366.20264,101054.06,0.868927
60,2021-01-16 00:00:00,52.5,17.0,0,0 days,0.0,2021-01-16 00:00:00,2.9026031,-2.5806274,268.4038,332.82568,101120.19,0.96780396
61,2021-01-16 06:00:00,52.5,17.0,0,0 days,0.0,2021-01-16 06:00:00,3.4079285,-2.4996185,268.5857,379.91968,101061.75,0.91238403
