iter	R2	RMSE
0	0.007366238126	0.1761979097
1	0.014124283	0.1755970905
2	0.02146454707	0.1749421716
3	0.02919495385	0.1742497819
4	0.03596884929	0.1736407946
5	0.04253164523	0.1730487415
6	0.04891830607	0.1724706269
7	0.05617913481	0.1718110207
8	0.0622394726	0.1712585272
9	0.06924780868	0.1706173784
10	0.07556652587	0.170037246
11	0.08185361432	0.1694580464
12	0.08869023381	0.1688259659
13	0.09474290241	0.168264384
14	0.1012124059	0.1676620475
15	0.1071364819	0.1671085881
16	0.1121922464	0.1666347973
17	0.1187635899	0.1660169562
18	0.1228210569	0.1656343202
19	0.1285772165	0.165089969
20	0.134601979	0.1645182873
21	0.1404912566	0.163957535
22	0.145149022	0.1635126802
23	0.1507319022	0.1629778694
24	0.1558702338	0.1624840884
25	0.1607333862	0.1620153653
26	0.16600736	0.1615055086
27	0.1712601899	0.160996091
28	0.176575613	0.1604789571
29	0.1816085721	0.1599877632
30	0.1863581645	0.1595228376
31	0.1917064226	0.1589976827
32	0.1972460358	0.1584519033
33	0.2020518105	0.1579768964
34	0.2062891352	0.1575568877
35	0.2112125802	0.1570674592
36	0.2157808359	0.1566119713
37	0.2202154355	0.1561685392
38	0.2248274638	0.1557060256
39	0.2295556084	0.1552304369
40	0.2339637539	0.1547857196
41	0.2382444555	0.1543526332
42	0.2422791605	0.1539433194
43	0.2464121458	0.1535229037
44	0.2512124805	0.1530331541
45	0.2554357553	0.1526009788
46	0.259827316	0.1521502806
47	0.2641594468	0.1517043696
48	0.2686051574	0.151245401
49	0.2730577555	0.150784321
50	0.2770319605	0.1503715859
51	0.2810600012	0.1499521006
52	0.2849862426	0.1495420844
53	0.2889911447	0.1491226922
54	0.2931876521	0.1486819659
55	0.2970244567	0.14827787
56	0.3007380686	0.1478856973
57	0.3046286426	0.1474737181
58	0.3087406931	0.1470370316
59	0.3128499272	0.1465993448
60	0.3167819719	0.1461793039
61	0.3206233086	0.1457677842
62	0.3243528634	0.1453671249
63	0.3284090934	0.1449301142
64	0.3318774683	0.14455539
65	0.3350411913	0.1442127314
66	0.3383713209	0.1438511678
67	0.3419691566	0.1434595142
68	0.3440989859	0.1432271605
69	0.3477172114	0.1428315636
70	0.3511210525	0.1424584034
71	0.3548773838	0.1420454622
72	0.3583099188	0.1416670642
73	0.3617038597	0.1412919243
74	0.3651833775	0.1409062886
75	0.3682403211	0.1405666138
76	0.3712315456	0.140233445
77	0.3742841938	0.1398926167
78	0.376278843	0.1396694647
79	0.379308265	0.1393298636
80	0.3824953528	0.1389716923
81	0.3856591902	0.1386152184
82	0.3886154025	0.1382813076
83	0.3913782765	0.1379685041
84	0.3944025768	0.1376252878
85	0.3972232353	0.1373044087
86	0.4003033767	0.1369531521
87	0.403442345	0.1365942577
88	0.4062032681	0.1362778058
89	0.4090135233	0.1359549431
90	0.4122668782	0.1355802136
91	0.4148213294	0.1352852582
92	0.4178419422	0.1349356444
93	0.420755453	0.1345975664
94	0.4234039476	0.1342895019
95	0.4260833536	0.1339771211
96	0.4287440811	0.1336661956
97	0.431336994	0.1333624972
98	0.4339766029	0.1330526174
99	0.4363786865	0.1327699937
100	0.4388284421	0.13248114
101	0.4413296925	0.1321855632
102	0.4438283375	0.1318896329
103	0.4463546795	0.1315897457
104	0.4488607199	0.1312915916
105	0.4516640085	0.1309572683
106	0.4535983281	0.1307260806
107	0.4561327852	0.130422545
108	0.4584680231	0.1301422419
109	0.4608357499	0.1298574214
110	0.4631361986	0.1295800944
111	0.4654524021	0.1293002671
112	0.4680821215	0.1289818271
113	0.4704220274	0.128697819
114	0.4727633164	0.1284130143
115	0.4751201867	0.1281256749
116	0.4773752461	0.1278501432
117	0.4796812879	0.1275677669
118	0.4821275648	0.1272675338
119	0.4846299546	0.1269596794
120	0.4868405525	0.1266871001
121	0.4889621284	0.1264249451
122	0.491282446	0.1261376085
123	0.4929369451	0.1259323231
124	0.4950501041	0.1256696409
125	0.4969235049	0.1254363026
126	0.4990458095	0.1251714369
127	0.5013547804	0.124882637
128	0.5031011986	0.1246637553
129	0.5050631153	0.1244174056
130	0.5070865075	0.1241628246
131	0.5089377893	0.1239294402
132	0.5109085676	0.1236805074
133	0.5127039274	0.1234532951
134	0.5149318375	0.1231707586
135	0.5167760713	0.1229363874
136	0.5187498784	0.1226850536
137	0.520731053	0.1224322628
138	0.5227816005	0.1221700694
139	0.5243770828	0.1219656731
140	0.5255667529	0.1218130419
141	0.5275571027	0.1215572574
142	0.5293212379	0.1213300934
143	0.5312648823	0.121079321
144	0.5329672136	0.1208592558
145	0.5349773928	0.1205988771
146	0.5369023244	0.1203490126
147	0.5386649991	0.1201197538
148	0.5403987716	0.1198938265
149	0.5420969244	0.1196721273
150	0.5437675972	0.1194536141
151	0.5454742403	0.1192299828
152	0.5471066409	0.1190156868
153	0.5488115962	0.1187914532
154	0.5504045109	0.118581572
155	0.55219712	0.118344934
156	0.5540608628	0.1180984031
157	0.5557122735	0.1178795281
158	0.5573618646	0.1176604878
159	0.5592014138	0.1174157421
160	0.5607735804	0.1172061656
161	0.5622543889	0.1170084243
162	0.5633711306	0.1168590777
163	0.5652057984	0.1166133046
164	0.5668473741	0.1163929583
165	0.5684185611	0.1161816688
166	0.5698531396	0.1159884139
167	0.5717721511	0.1157293954
168	0.5734226792	0.1155061509
169	0.5749086126	0.1153047992
170	0.5764202266	0.1150996062
171	0.5779839025	0.1148869604
172	0.5794781285	0.1146833908
173	0.581047076	0.1144692517
174	0.5817328805	0.1143755231
175	0.5831821202	0.1141772033
176	0.5847004884	0.1139690533
177	0.5862477616	0.1137565491
178	0.587705331	0.1135560011
179	0.589362719	0.1133275288
180	0.5909252145	0.1131117148
181	0.5922352248	0.1129304566
182	0.5934803911	0.1127579003
183	0.5948372449	0.1125695652
184	0.5963571658	0.112358221
185	0.5976440243	0.1121789727
186	0.5991874562	0.1119636075
187	0.6007132568	0.1117502945
188	0.6022128728	0.1115402448
189	0.6036645543	0.1113365316
190	0.6050925146	0.111135783
191	0.6065037328	0.1109370311
192	0.6078740629	0.1107436965
193	0.6092610546	0.1105476668
194	0.6106853346	0.1103460045
195	0.6118110845	0.1101863497
196	0.6131564638	0.1099952429
197	0.6145099329	0.1098026513
198	0.6157895445	0.1096202581
199	0.6170576045	0.1094392116
200	0.6182289523	0.1092717065
201	0.6195346814	0.1090846815
202	0.6206646904	0.1089225665
203	0.6213161298	0.1088289989
204	0.6226825295	0.1086324784
205	0.6238760764	0.1084605269
206	0.6252139003	0.108267465
207	0.6265072907	0.1080804875
208	0.6277311709	0.1079032604
209	0.6289612626	0.1077248399
210	0.6300315108	0.1075693635
211	0.6312588476	0.1073907895
212	0.6325148822	0.1072077321
