iter	Passed	Remaining
0	10	10639
1	14	7265
2	19	6348
3	25	6232
4	32	6410
5	37	6257
6	45	6525
7	53	6650
8	60	6697
9	65	6457
10	68	6176
11	71	5878
12	74	5680
13	77	5440
14	81	5329
15	83	5127
16	85	4930
17	87	4799
18	90	4661
19	92	4541
20	96	4475
21	97	4334
22	101	4305
23	104	4258
24	106	4160
25	108	4080
26	117	4228
27	127	4427
28	134	4491
29	141	4582
30	180	5634
31	187	5659
32	196	5762
33	203	5791
34	211	5834
35	229	6158
36	233	6086
37	236	5989
38	239	5897
39	248	5975
40	253	5934
41	257	5865
42	260	5804
43	263	5717
44	264	5615
45	266	5523
46	267	5432
47	269	5342
48	272	5280
49	273	5203
50	275	5124
51	276	5048
52	278	4977
53	280	4905
54	281	4836
55	285	4817
56	288	4767
57	289	4709
58	291	4649
59	292	4587
60	295	4549
61	297	4507
62	300	4463
63	302	4417
64	304	4374
65	306	4330
66	307	4284
67	309	4242
68	311	4198
69	312	4155
70	314	4113
71	315	4071
72	317	4035
73	319	4003
74	322	3973
75	323	3937
76	325	3901
77	327	3867
78	328	3831
79	330	3802
80	334	3789
81	336	3766
82	338	3740
83	340	3712
84	342	3690
85	344	3662
86	345	3630
87	348	3609
88	349	3580
89	351	3556
90	354	3539
91	359	3546
92	361	3524
93	363	3502
94	365	3477
95	369	3480
96	373	3475
97	398	3663
98	401	3658
99	407	3663
100	410	3650
101	412	3627
102	415	3616
103	417	3599
104	420	3586
105	425	3586
106	428	3577
107	432	3568
108	434	3551
109	435	3527
110	437	3503
111	443	3518
112	446	3506
113	448	3487
114	451	3470
115	452	3450
116	454	3428
117	455	3406
118	457	3386
119	458	3364
120	461	3349
121	462	3331
122	464	3311
123	467	3299
124	470	3291
125	473	3284
126	476	3272
127	480	3273
128	484	3271
129	486	3254
130	488	3242
131	491	3231
132	493	3216
133	495	3201
134	497	3184
135	498	3167
136	500	3149
137	501	3135
138	504	3124
139	506	3113
140	508	3095
141	509	3076
142	514	3080
143	515	3066
144	517	3049
145	518	3034
146	525	3049
147	528	3041
148	532	3039
149	536	3041
150	538	3030
151	545	3044
152	548	3039
153	551	3028
154	552	3014
155	560	3030
156	563	3023
157	608	3241
158	621	3287
159	625	3286
160	639	3333
161	648	3352
162	655	3365
163	658	3356
164	664	3360
165	666	3349
166	681	3397
167	693	3435
168	696	3426
169	702	3429
170	704	3417
171	707	3407
172	711	3402
173	717	3404
174	723	3410
175	725	3397
176	727	3384
177	729	3370
178	732	3358
179	737	3361
180	739	3345
181	741	3331
182	742	3315
183	745	3304
184	748	3299
185	752	3291
186	754	3281
187	761	3287
188	792	3402
189	856	3650
190	858	3635
191	859	3615
192	860	3596
193	862	3584
194	868	3583
195	874	3587
196	878	3580
197	881	3569
198	884	3561
199	889	3559
200	892	3545
201	894	3532
202	896	3517
203	897	3503
204	899	3488
205	902	3477
206	904	3463
207	906	3450
208	908	3437
209	911	3428
210	913	3415
211	915	3404
212	917	3391
213	920	3380
