,city,v_w,t2m,blh,sp,tcc,tp,inversion_0/1,PM10,PM25,NO2,CO,month,year,day,hour,day_of_week
0,LD,7.2256824175219085,285.8401,647.28076,99286.125,0.7875366,0.0,1,,,,,January,2023,1,00:00:00,Sunday
1,LD,7.189492504633841,286.22705,745.22437,99435.44,0.5967407,0.0,1,6.0,4.455,4.3,0.377,January,2023,1,06:00:00,Sunday
2,LD,6.669781240101493,289.67798,815.42725,99555.25,0.80963135,0.0,1,6.0,4.455,4.2,0.4,January,2023,1,12:00:00,Sunday
3,LD,4.512088709723381,284.96606,291.8579,99843.5,0.9855652,0.0,1,11.0,9.4446,8.3,0.457,January,2023,1,18:00:00,Sunday
4,LD,3.8502870805219005,281.79956,184.28812,99938.31,0.98999023,0.0,1,15.0,12.3849,6.6,0.521,January,2023,2,00:00:00,Monday
5,LD,5.0410341127969405,280.58545,256.59937,99767.25,0.29345703,0.0,0,13.0,10.4247,12.7,0.66,January,2023,2,06:00:00,Monday
6,LD,5.6224078768745205,285.75757,470.95337,99599.56,0.9638977,0.0,0,11.0,7.3953,11.5,0.462,January,2023,2,12:00:00,Monday
7,LD,5.185856233266628,283.37695,325.84106,99582.56,0.90267944,0.0,0,13.0,10.4247,11.6,0.48,January,2023,2,18:00:00,Monday
8,LD,5.341852266378479,282.2744,485.61108,99705.44,0.9750366,0.0,1,15.0,13.365,8.1,0.463,January,2023,3,00:00:00,Tuesday
9,LD,4.996441249033405,280.64746,799.188,100086.81,0.97442627,4.7683716e-07,1,10.0,8.4645,5.7,0.413,January,2023,3,06:00:00,Tuesday
10,LD,5.691333541512707,280.4358,1098.1128,100351.06,0.8699951,4.7683716e-07,1,6.0,5.4351,6.1,0.274,January,2023,3,12:00:00,Tuesday
11,LD,3.503475671245276,276.2185,702.7102,100549.69,0.26678467,9.536743e-07,1,11.0,9.4446,20.3,0.343,January,2023,3,18:00:00,Tuesday
12,LD,2.9044097414346104,273.70215,311.45483,100642.44,0.54611206,6.198883e-06,1,35.0,31.2741,20.4,0.466,January,2023,4,00:00:00,Wednesday
13,LD,2.8773891255379715,271.30127,137.2342,100377.44,1.0,0.0,1,41.0,29.3139,21.3,0.688,January,2023,4,06:00:00,Wednesday
14,LD,6.656408168760003,278.05933,642.7578,99705.0,1.0,0.0,1,15.0,13.365,13.3,0.387,January,2023,4,12:00:00,Wednesday
15,LD,8.048355383489893,278.62866,945.76904,98981.5,1.0,0.0013399124,1,9.0,7.3953,9.1,0.337,January,2023,4,18:00:00,Wednesday
16,LD,8.229839816551292,281.42236,1174.8418,98452.25,1.0,0.0004787445,1,7.0,6.4152,5.1,0.337,January,2023,5,00:00:00,Thursday
17,LD,7.812324122152722,281.1599,1149.7888,98273.44,0.99798584,0.0006465912,1,,,4.5,0.324,January,2023,5,06:00:00,Thursday
18,LD,8.202766157186216,281.333,1365.013,98380.94,0.80755615,0.00028324127,1,3.0,2.4948,8.7,0.329,January,2023,5,12:00:00,Thursday
19,LD,8.822040240537474,278.06543,1091.9292,98822.125,1.0,8.6307526e-05,1,2.0,1.5147,7.5,0.345,January,2023,5,18:00:00,Thursday
20,LD,5.663755309933949,275.55396,1033.1353,99557.56,0.86227417,5.865097e-05,1,4.0,3.4749,4.3,0.311,January,2023,6,00:00:00,Friday
21,LD,1.5906059091601195,274.0603,664.9324,99897.625,0.9591675,1.5735626e-05,1,8.0,7.3953,4.0,0.317,January,2023,6,06:00:00,Friday
22,LD,3.0062608294937236,275.64868,678.24976,99812.0,1.0,0.0,1,10.0,9.4446,6.8,0.372,January,2023,6,12:00:00,Friday
23,LD,3.5490890010929483,275.68628,334.57788,99431.44,1.0,0.000685215,1,18.0,15.4143,7.0,0.53,January,2023,6,18:00:00,Friday
24,LD,4.619623444194976,278.7339,821.7156,99674.06,0.99798584,1.859665e-05,1,12.0,10.4247,5.9,0.383,January,2023,7,00:00:00,Saturday
25,LD,2.141543804638665,276.8772,110.472595,99761.31,0.82403564,7.1525574e-06,1,23.0,18.3546,14.3,0.496,January,2023,7,06:00:00,Saturday
26,LD,2.4587582384140863,280.135,288.53027,99724.94,1.0,9.536743e-07,1,16.0,14.3451,10.6,0.43,January,2023,7,12:00:00,Saturday
