Year;$ money of the day;$ 2021;Column 6;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12
1865;6.59;110.96806716569147;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1870;3.86;78.68177464236153;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1871;4.34;93.38081659483495;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1873;1.83;39.37486045358248;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1876;2.56;61.966993500719965;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1877;2.42;58.578173543649335;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1879;0.86;23.790899290454984;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1882;0.78;20.83373057351792;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1884;0.84;24.098275250279986;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1895;1.36;42.13755558048958;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1904;0.86;24.672043708619988;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1911;0.61;16.874940194392497;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1914;0.81;20.842101592200002;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1915;0.64;16.3038507072;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1916;1.1;26.055020992;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1918;1.98;34.00077750299999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1919;2.01;30.062942256899994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1921;1.73;25.006448225499998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1923;1.34;20.3124707618;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1927;1.3;19.362944964999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1931;0.65;11.0407478545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1933;0.67;13.372867894399997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1935;0.97;18.278708042699996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1943;1.2;17.948025228;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1944;1.21;17.787562407999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1951;1.71;17.0211195126;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1959;2.08;18.4484621776;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1961;1.8;15.559717319999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1966;1.8;14.34848184;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1983;29.55;76.7857936746988;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1994;15.817626459144;27.62331795895761;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2004;38.265;52.426696214928526;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009;61.6712648221344;74.39836354512938;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;71.3100597609562;73.49786296994043;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1868;3.63;70.29380825237921;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1880;0.95;25.374415442105157;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1881;0.86;22.970523452853087;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1887;0.67;19.22124335438999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
